Distance (km),Elevation (m)
9.788997310580822,323.0
9.81509938699902,322.0
9.8413870123058,321.0
9.865164475435956,320.0
9.888486137284783,319.0
9.914344952311396,318.0
9.939169200414575,318.0
9.962380909120713,317.0
9.986208022273036,315.0
10.011973650120744,317.0
10.036859779301428,324.0
10.061659807248969,326.0
10.085294620699802,329.0
10.1097185453891,335.0
10.134899815370595,336.0
10.160591767027062,337.0
10.185707007584048,338.0
10.205954041871948,340.0
10.221698285800652,340.0
10.245328370289473,341.0
10.269826172116002,342.0
10.2929576461593,342.0
10.318852365449674,342.0
10.343844171947389,343.0
10.367993256719291,343.0
10.391984304317553,343.0
10.418766691268603,342.0
10.445744324857161,342.0
10.471796436112164,342.0
10.499197047944447,342.0
10.525545039816459,342.0
10.551676097865249,342.0
10.575486257456422,343.0
10.59974640569963,344.0
10.624673479395373,344.0
10.649788614801187,344.0
10.674421795737999,344.0
10.70160716710088,344.0
10.725713305747618,344.0
10.749945153906474,344.0
10.776651219380785,344.0
10.801427904071492,344.0
10.825463929007359,344.0
10.85015955701747,343.0
10.87517918065629,342.0
10.900015286449898,341.0
10.92375301366201,342.0
10.947836307955221,341.0
10.966293852157312,340.0
